date,home_team,away_team,home_score,away_score,tournament,neutral,home_form,home_avg_scored,home_avg_conceded,away_form,away_avg_scored,away_avg_conceded,home_elo,away_elo,elo_diff,result
1933-04-01,Scotland,England,2.0,1.0,British Home Championship,False,-0.7465705780834453,1.6,2.2,1.9547918033030962,4.0,2.0,1943,2031,-88,W
1933-04-02,Spain,Portugal,3.0,0.0,Friendly,False,-1.2400103008831962,1.0,3.5,0.1444098530143206,1.5,1.25,1924,1693,231,W
1933-04-09,Belgium,Netherlands,1.0,3.0,Friendly,False,-1.5916991082241272,2.0,3.4,0.9712803452738961,2.4,1.4,1595,1678,-83,L
1933-04-23,France,Spain,1.0,0.0,Friendly,False,-1.4126639794870606,1.8,3.0,-0.6397994633547721,1.6666666666666667,2.3333333333333335,1573,1924,-351,W
1933-05-07,Netherlands,Belgium,1.0,2.0,Friendly,False,1.1623693242625672,2.2,1.0,-2.545962253142817,1.2,3.6,1678,1595,83,L
1933-05-20,Switzerland,England,0.0,4.0,Friendly,False,0.35818843247660037,2.2,2.0,2.397652625047095,3.8,1.4,1637,2031,-394,L
1933-06-05,Australia,New Zealand,4.0,2.0,Soccer Ashes,False,,0.0,0.0,,0.0,0.0,1551,1546,5,W
1933-06-11,Austria,Belgium,4.0,1.0,Friendly,False,1.8393939133943533,4.0,1.8,-1.947760390656327,1.4,3.2,2017,1595,422,W
1933-06-17,Australia,New Zealand,6.0,4.0,Soccer Ashes,False,0.18269855381353484,4.0,2.0,-0.1832894288258684,2.0,4.0,1551,1546,5,W
1933-06-24,Australia,New Zealand,4.0,2.0,Soccer Ashes,False,0.3653971076270697,5.0,3.0,-0.3665788576517368,3.0,5.0,1551,1546,5,W
1933-09-24,Norway,Sweden,0.0,1.0,Nordic Championship,False,0.0999760520868373,2.4,2.2,-0.5662355243192447,2.2,3.0,1705,1692,13,L
1933-10-22,Germany,Belgium,8.0,1.0,Friendly,False,-1.0015331459053738,1.8,2.6,-1.4710424307056158,1.4,2.8,1770,1595,175,W
1933-11-05,Germany,Norway,2.0,2.0,Friendly,False,1.50968565651223,3.4,1.8,0.29992815626051195,1.8,1.2,1770,1705,65,D
1933-11-19,Switzerland,Germany,0.0,2.0,Friendly,False,-0.6018652875629579,1.6,2.2,1.1227806984362192,3.4,2.2,1637,1770,-133,L
1933-11-29,Scotland,Austria,2.0,2.0,Friendly,False,-0.8665772930883898,1.6,2.4,2.20490919602389,4.0,1.4,1943,2017,-74,D
1933-12-06,England,France,4.0,1.0,Friendly,False,2.605995154395906,3.8,1.2,-0.619827887937898,1.6,2.0,2031,1573,458,W
1933-12-10,Netherlands,Austria,0.0,1.0,Friendly,False,0.40841280852495254,1.6,1.2,2.0114567169858844,3.8,1.6,1678,2017,-339,L
1933-12-14,Uruguay,Argentina,0.0,1.0,Friendly,False,-0.8406969675481804,1.0,1.8,0.9103020440010732,2.0,1.0,1985,2049,-64,L
1934-01-21,Belgium,France,2.0,3.0,Friendly,False,-2.943502961440832,1.0,3.8,-0.8668136430933235,1.6,2.2,1588,1599,-11,L
1934-03-11,France,Switzerland,0.0,1.0,Friendly,False,0.26624828055749944,2.2,1.8,-0.7719191161125547,1.4,2.0,1599,1607,-8,L
1934-03-11,Netherlands,Belgium,9.0,3.0,Friendly,False,-0.008035900167736365,1.2,1.2,-2.565579303552291,1.4,3.8,1658,1588,70,W
1934-03-11,Spain,Portugal,9.0,0.0,FIFA World Cup qualification,False,-0.8060716918254339,1.25,2.0,-0.5249333609571294,1.2,1.6,1910,1699,211,W
1934-03-18,Portugal,Spain,1.0,2.0,FIFA World Cup qualification,False,-6.997141896053945,0.8,3.4,4.61497019632999,2.8,1.6,1699,1910,-211,L
1934-03-25,Switzerland,Austria,2.0,3.0,Central European International Cup,False,-0.7864546414159601,1.2,1.8,2.4530767012039822,3.4,0.8,1607,2000,-393,L
1934-04-14,England,Scotland,3.0,0.0,British Home Championship,False,1.7876332623139337,3.2,1.2,0.3311263569117236,2.0,1.8,2003,1902,101,W
